State,Lat,Long,Sector,Source,Year,Value
Wyoming,43.07597,-107.290283,Residential,Coal,1980,0.038
Wyoming,43.07597,-107.290283,Residential,Coal,1981,0.035
Wyoming,43.07597,-107.290283,Residential,Coal,1982,0.042
Wyoming,43.07597,-107.290283,Residential,Coal,1983,0.039
Wyoming,43.07597,-107.290283,Residential,Coal,1984,0.053
Wyoming,43.07597,-107.290283,Residential,Coal,1985,0.039
Wyoming,43.07597,-107.290283,Residential,Coal,1986,0.038
Wyoming,43.07597,-107.290283,Residential,Coal,1987,0.039
Wyoming,43.07597,-107.290283,Residential,Coal,1988,0.052
Wyoming,43.07597,-107.290283,Residential,Coal,1989,0.048
Wyoming,43.07597,-107.290283,Residential,Coal,1990,0.05
Wyoming,43.07597,-107.290283,Residential,Coal,1991,0.056
Wyoming,43.07597,-107.290283,Residential,Coal,1992,0.033
Wyoming,43.07597,-107.290283,Residential,Coal,1993,0.06
Wyoming,43.07597,-107.290283,Residential,Coal,1994,0.064
Wyoming,43.07597,-107.290283,Residential,Coal,1995,0.033
Wyoming,43.07597,-107.290283,Residential,Coal,1996,0.08
Wyoming,43.07597,-107.290283,Residential,Coal,1997,0.026
Wyoming,43.07597,-107.290283,Residential,Coal,1998,0.034
Wyoming,43.07597,-107.290283,Residential,Coal,1999,0.024
Wyoming,43.07597,-107.290283,Residential,Coal,2000,0.029
Wyoming,43.07597,-107.290283,Residential,Coal,2001,0.026
Wyoming,43.07597,-107.290283,Residential,Coal,2002,0.019
Wyoming,43.07597,-107.290283,Residential,Coal,2003,0.022
Wyoming,43.07597,-107.290283,Residential,Coal,2004,0.017
Wyoming,43.07597,-107.290283,Residential,Coal,2005,0.009
Wyoming,43.07597,-107.290283,Residential,Coal,2006,0.008
Wyoming,43.07597,-107.290283,Residential,Coal,2007,0.01
Wyoming,43.07597,-107.290283,Residential,Coal,2008,0
Wyoming,43.07597,-107.290283,Residential,Coal,2009,0
Wyoming,43.07597,-107.290283,Residential,Coal,2010,0
Wyoming,43.07597,-107.290283,Residential,Coal,2011,0
Wyoming,43.07597,-107.290283,Residential,Coal,2012,0
Wyoming,43.07597,-107.290283,Residential,Coal,2013,0
Wyoming,43.07597,-107.290283,Residential,Coal,2014,0
Wyoming,43.07597,-107.290283,Residential,Coal,2015,0
Wyoming,43.07597,-107.290283,Residential,Coal,2016,0
Wyoming,43.07597,-107.290283,Residential,Coal,2017,0
Wyoming,43.07597,-107.290283,Residential,Coal,2018,0
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1980,0.137
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1981,0.156
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1982,0.174
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1983,0.334
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1984,0.216
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1985,0.12
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1986,0.165
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1987,0.274
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1988,0.187
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1989,0.13
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1990,0.107
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1991,0.148
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1992,0.121
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1993,0.108
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1994,0.108
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1995,0.137
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1996,0.102
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1997,0.043
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1998,0.024
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,1999,0.059
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,2000,0.111
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,2001,0.151
Wyoming,43.07597,-107.290283,Residential,Petroleum Products,2002,0.15
